title,author,year_published,isbn,publisher,language,genres,pages,cover_img_url,ol_key,source,description,avg_rating,num_ratings,google_url
Wings of Fire,A. P. J. Abdul Kalam,1999.0,9788173715181,Distributed by Orient Longman,"eng, hin","Biography, Presidents, Scientists",180.0,https://covers.openlibrary.org/b/id/9153819-L.jpg,/works/OL1037811W,Open Library,"Avul Pakir Jainulabdeen Abdul Kalam, the son of a little-educated boat-owner in Rameswaram, Tamil Nadu, had an unparalleled career as a defence scientist, culminating in the highest civilian award of India, the Bharat Ratna. As chief of the country’s defence research and development programme, Kalam demonstrated the great potential for dynamism and innovation that existed in seemingly moribund research establishments. This is the story of Kalam’s rise from obscurity and his personal and professional struggles, as well as the story of Agni, Prithvi, Akash, Trishul and Nag—missiles that have become household names in India and that have raised the nation to the level of a missile power of international reckoning. This is also the saga of independent India’s struggle for technological self-sufficiency and defensive autonomy—a story as much about politics, domestic and international, as it is about science.",4.5,182.0,http://books.google.de/books?id=c3qmIZtWUjAC&dq=Wings+of+Fire+A.+P.+J.+Abdul+Kalam&hl=&source=gbs_api
The Diary of a Young Girl- Anne Frank,Anne Frank,2001.0,9789352782772,True Sign Publishing House,eng,"Historical, Biography",320.0,https://covers.openlibrary.org/b/id/13526331-L.jpg,/works/OL27294413W,Open Library,"The Diary of a Young Girl, also known as The Diary of Anne Frank, is a book of the writings from the Dutch-language diary kept by Anne Frank while she was in hiding for two years with her family during the Nazi occupation of the Netherlands. The family was apprehended in 1944, and Anne Frank died of typhus in the Bergen-Belsen concentration camp in 1945. Anne's diaries were retrieved by Miep Gies and Bep Voskuijl. Miep gave them to Anne's father, Otto Frank, the family's only survivor, just after the Second World War was over.",4.5,34.0,http://books.google.de/books?id=EO-2vZseBf0C&dq=The+Diary+of+a+Young+Girl-+Anne+Frank+Anne+Frank&hl=&source=gbs_api
Autobiography of a Yogi,Yogananda Paramahansa,1946.0,9798705243440,Yogada Satsanga Society of India,"ger, eng, fre, jpn, tur, vie, spa, mal, est, swe, por, rus, hin, mar, san","Autobiography, Yogis, Yoga, Yoguis, Biografía",514.0,https://covers.openlibrary.org/b/id/805448-L.jpg,/works/OL528094W,Open Library,"The autobiography of Paramahansa Yogananda (1893 - 1952) details his search for a guru, during which he encountered many spiritual leaders and world-renowned scientists. When it was published in 1946 it was the first introduction of many westerners to yoga and meditation.The famous opera singer Amelita Galli-Curci said about the book:""Amazing, true stories of saints and masters of India, blended with priceless superphysical information-much needed to balance the Western material efficiency with Eastern spiritual efficiency-come from the vigorous pen of Paramhansa Yogananda, whose teachings my husband and myself have had the pleasure of studying for twenty years.""",4.0,12.0,http://books.google.de/books?id=xsIi4ePN4hYC&dq=Autobiography+of+a+Yogi+Yogananda+Paramahansa&hl=&source=gbs_api
I'm Glad My Mom Died,"Jennette McCurdy, Jannettte Mcury",2022.0,9781797147963,Simon and Surcher,"dut, ger, pol, eng","New York Times bestseller, Family & Relationships, Biography & Autobiography, Entertainment & Performing Arts, Biography & Autobiography / Personal Memoirs",320.0,https://covers.openlibrary.org/b/id/12855985-L.jpg,/works/OL26663382W,Open Library,"A heartbreaking and hilarious memoir by iCarly and Sam & Cat star Jennette McCurdy about her struggles as a former child actor—including eating disorders, addiction, and a complicated relationship with her overbearing mother—and how she retook control of her life.

Jennette McCurdy was six years old when she had her first acting audition. Her mother’s dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom called “calorie restriction,” eating little and weighing herself five times a day. She endured extensive at-home makeovers while Mom chided, “Your eyelashes are invisible, okay? You think Dakota Fanning doesn’t tint hers?” She was even showered by Mom until age sixteen while sharing her diaries, email, and all her income.

In I’m Glad My Mom Died , Jennette recounts all this in unflinching detail—just as she chronicles what happens when the dream finally comes true. Cast in a new Nickelodeon series called iCarly , she is thrust into fame. Though Mom is ecstatic, emailing fan club moderators and getting on a first-name basis with the paparazzi (“Hi Gale!”), Jennette is riddled with anxiety, shame, and self-loathing, which manifest into eating disorders, addiction, and a series of unhealthy relationships. These issues only get worse when, soon after taking the lead in the iCarly spinoff Sam & Cat alongside Ariana Grande, her mother dies of cancer. Finally, after discovering therapy and quitting acting, Jennette embarks on recovery and decides for the first time in her life what she really wants.

Told with refreshing candor and dark humor, I’m Glad My Mom Died is an inspiring story of resilience, independence, and the joy of shampooing your own hair.",,,"http://books.google.de/books?id=OL-QEQAAQBAJ&dq=I%27m+Glad+My+Mom+Died+Jennette+McCurdy,+Jannettte+Mcury&hl=&source=gbs_api"
Reminders of Him,Colleen Hoover,2022.0,9781638081968,Montlake,"eng, ger, dut",American literature,400.0,https://covers.openlibrary.org/b/id/12504366-L.jpg,/works/OL26758111W,Open Library,"After serving five years in prison for a tragic mistake, Kenna Rowan returns to the town where it all went wrong, hoping to reunite with her four-year-old daughter. But the bridges Kenna burned are proving impossible to rebuild. Everyone in her daughter’s life is determined to shut Kenna out, no matter how hard she works to prove herself.

The only person who hasn’t closed the door on her completely is Ledger Ward, a local bar owner and one of the few remaining links to Kenna’s daughter. But if anyone were to discover how Ledger is slowly becoming an important part of Kenna’s life, both would risk losing the trust of everyone important to them.

The two form a connection despite the pressure surrounding them, but as their romance grows, so does the risk. Kenna must find a way to absolve the mistakes of her past in order to build a future out of hope and healing.",3.5,5.0,http://books.google.de/books?id=Fzy1zgEACAAJ&dq=Reminders+of+Him+Colleen+Hoover&hl=&source=gbs_api
Fear and Loathing in Las Vegas,Hunter S. Thompson,1971.0,9781417665884,Flamingo,"eng, spa","comedy, Journalists, biography, Thompson, hunter s., 1937-2005, Journalists, Biography",205.0,https://covers.openlibrary.org/b/id/13396-L.jpg,/works/OL158041W,Open Library,"Maverick author Hunter S. Thompson introduced the world to ""gonzo journalism"" with this cult classic that shot back up the best seller lists after Thompson's suicide in 2005. No book ever written has more perfectly captured the spirit of the 1960s counterculture. In Las Vegas to cover a motorcycle race, Raoul Duke (Thompson) and his attorney Dr. Gonzo (inspired by a friend of Thompson) are quickly diverted to search for the American dream. Their quest is fueled by nearly every drug imaginable and quickly becomes a surreal experience that blurs the line between reality and fantasy. But there is more to this hilarious tale than reckless behavior, for underneath the hallucinogenic facade is a stinging criticism of American greed and consumerism.",5.0,1.0,https://play.google.com/store/books/details?id=oqqFBAAAQBAJ&source=gbs_api
The worldly philosophers,Robert L. Heilbroner,1953.0,9602181907,Peter Smith Publisher Inc,"spa, gre, eng, fre","Economics, Economists, History, Economists, biography, Biography",342.0,https://covers.openlibrary.org/b/id/15106531-L.jpg,/works/OL1847023W,Open Library,"""The Worldly Philosophers is a bestselling classic that not only enables us to see more deeply into our history but helps us better understand our own times. In this seventh edition, Robert L. Heilbroner provides a view theme that connects thinkers as diverse as Adam Smith and Karl Marx. The theme is the common focus of their highly varied ideas - namely, the search to understand how a capitalist society works.""--BOOK JACKET.",2.5,3.0,http://books.google.de/books?id=N_3cj4urgJcC&dq=The+worldly+philosophers+Robert+L.+Heilbroner&hl=&source=gbs_api
Persepolis 1 & 2,Marjane Satrapi,2003.0,0375422307,Tandem Library,"spa, eng","Comics & graphic novels, nonfiction, biography & memoir, Iran, biography, Girls, biography, Authors, biography, Comics & graphic novels, nonfiction, general",160.0,https://covers.openlibrary.org/b/id/12648909-L.jpg,/works/OL20715162W,Open Library,"Wise, funny, and heartbreaking, Persepolis is Marjane Satrapi’s memoir of growing up in Iran during the Islamic Revolution. In powerful black-and-white comic strip images, Satrapi tells the story of her life in Tehran from ages six to fourteen, years that saw the overthrow of the Shah’s regime, the triumph of the Islamic Revolution, and the devastating effects of war with Iraq. The intelligent and outspoken only child of committed Marxists and the great-granddaughter of one of Iran’s last emperors, Marjane bears witness to a childhood uniquely entwined with the history of her country.

Persepolis paints an unforgettable portrait of daily life in Iran and of the bewildering contradictions between home life and public life. Marjane’s child’s-eye view of dethroned emperors, state-sanctioned whippings, and heroes of the revolution allows us to learn as she does the history of this fascinating country and of her own extraordinary family. Intensely personal, profoundly political, and wholly original, Persepolis is at once a story of growing up and a reminder of the human cost of war and political repression. It shows how we carry on, with laughter and tears, in the face of absurdity. And, finally, it introduces us to an irresistible little girl with whom we cannot help but fall in love.",,,https://play.google.com/store/books/details?id=lmR4DwAAQBAJ&source=gbs_api
Narrative of the life of Frederick Douglass,Frederick Douglass,1845.0,1957240911,Laurel,"eng, spa, und","Douglass, frederick, 1818-1895, Biography, African American abolitionists, Abolitionists, Slaves",127.0,https://covers.openlibrary.org/b/id/8247724-L.jpg,/works/OL69178W,Open Library,This book is an autobiographical account by runaway slave Frederick Douglass that chronicles his experiences with his owners and overseers and discusses how slavery affected both slaves and slaveholders.,4.5,15.0,https://play.google.com/store/books/details?id=U69bAAAAQAAJ&source=gbs_api
Zukunft einer Illusion,Sigmund Freud,1928.0,9781013396717,"Creative Media Partners, LLC","ger, eng","Psychoanalysis, Psychology and religion, Psychotherapy, Religion, Religious Psychology",95.0,https://covers.openlibrary.org/b/id/6503974-L.jpg,/works/OL1069670W,Open Library,"In what is considered one of his greatest contributions to psychology, Austrian psychiatrist, Sigmund Freud describes his perspectives on the development and origins of religion - religion as an illusion, wishes that are the ""fulfillments of the oldest, strongest, and most urgent wishes of mankind."" He goes on to explain and illustrate, ""what is characteristic of illusions is that they are derived from human wishes.""",,,http://books.google.de/books?id=XwPNDwAAQBAJ&dq=%E8%B5%B0%E3%82%8B%E3%81%93%E3%81%A8%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%E8%AA%9E%E3%82%8B%E3%81%A8%E3%81%8D%E3%81%AB%E5%83%95%E3%81%AE%E8%AA%9E%E3%82%8B%E3%81%93%E3%81%A8+%E6%9D%91%E4%B8%8A%E6%98%A5%E6%A8%B9&hl=&source=gbs_api
